Stock Ticker,Market Cap,Stock Price,Sector,Industry
INTU,184334314086.34,629.46,N/A,SERVICES-PREPACKAGED SOFTWARE
QCOM,183194550000.0,172.98,N/A,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
AMGN,176250108425.01,327.64,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
INTC,176013000000.0,39.38,N/A,SEMICONDUCTORS & RELATED DEVICES
BKNG,172622716483.95,5323.2,N/A,TRANSPORTATION SERVICES
KLAC,159652202057.03998,1274.47,N/A,OPTICAL INSTRUMENTS & LENSES
TXN,157637007739.80002,177.52,N/A,SEMICONDUCTORS & RELATED DEVICES
GILD,152281016927.02,121.6,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
ADBE,146505814000.0,333.3,N/A,SERVICES-PREPACKAGED SOFTWARE
ADI,132794191106.4,273.74,N/A,SEMICONDUCTORS & RELATED DEVICES
PANW,128387399999.99998,179.37,N/A,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
HON,123860145408.72,195.88,N/A,AIRCRAFT ENGINES & ENGINE PARTS
CRWD,118173664734.4,453.58,N/A,SERVICES-PREPACKAGED SOFTWARE
VRTX,115025969222.16,452.13,N/A,PHARMACEUTICAL PREPARATIONS
CEG,110322716561.59999,366.25,N/A,ELECTRIC SERVICES
CMCSA,108916006754.45,29.54,N/A,CABLE & OTHER PAY TELEVISION SERVICES
ADP,104036350419.12001,252.88,N/A,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
MELI,102117305815.31999,1973.7,N/A,"SERVICES-BUSINESS SERVICES, NEC"
HOOD,101698261083.9,115.21,N/A,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
CME,98472589287.79999,269.68,N/A,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
DASH,97612544583.12,219.79,N/A,"SERVICES-BUSINESS SERVICES, NEC"
SBUX,95755191000.0,83.97,N/A,RETAIL-EATING & DRINKING PLACES
SNPS,89865987722.32,480.42,N/A,SERVICES-PREPACKAGED SOFTWARE
CDNS,85084588580.0,310.4,N/A,SERVICES-PREPACKAGED SOFTWARE
MAR,83253460880.8,313.41,N/A,HOTELS & MOTELS
ABNB,82293788884.31999,133.01,N/A,SERVICES-TO DWELLINGS & OTHER BUILDINGS
REGN,81123123277.68001,776.31,N/A,PHARMACEUTICAL PREPARATIONS
ORLY,76990734231.31999,90.34,N/A,RETAIL-AUTO & HOME SUPPLY STORES
CTAS,75782430360.0,184.88,N/A,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
EQIX,75226245520.48,764.11,N/A,REAL ESTATE INVESTMENT TRUSTS
MNST,74908216630.72,76.16,N/A,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
MRVL,72071538000.0,89.39,N/A,SEMICONDUCTORS & RELATED DEVICES
WBD,71427453329.54,28.51,N/A,CABLE & OTHER PAY TELEVISION SERVICES
MDLZ,69459997624.36,53.65,N/A,FOOD AND KINDRED PRODUCTS
CSX,67502464655.0,36.27,N/A,"RAILROADS, LINE-HAUL OPERATING"
ADSK,62754120000.0,286.73,N/A,SERVICES-PREPACKAGED SOFTWARE
AEP,61586440254.3,115.81,N/A,ELECTRIC SERVICES
COIN,60980372829.96,236.53,N/A,FINANCE SERVICES
STX,59999784951.06,287.54,N/A,COMPUTER STORAGE DEVICES
FTNT,59053095779.82,77.88,N/A,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
WDC,58898989137.87,187.7,N/A,COMPUTER STORAGE DEVICES
TRI,58670275610.42999,126.36,N/A,
ROST,58265369329.92,182.74,N/A,RETAIL-FAMILY CLOTHING STORES
PCAR,57515129354.090004,111.56,N/A,MOTOR VEHICLES & PASSENGER CAR BODIES
WDAY,56487140000.0,205.79,N/A,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
NDAQ,55460786407.29,96.66,N/A,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
NXPI,54628460675.26,221.28,N/A,SEMICONDUCTORS & RELATED DEVICES
PYPL,54623361016.14,58.14,N/A,"SERVICES-BUSINESS SERVICES, NEC"
IDXX,54021820284.9,669.99,N/A,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
ALNY,52535059727.7,400.17,N/A,PHARMACEUTICAL PREPARATIONS
EA,51104185338.57,204.41,N/A,SERVICES-PREPACKAGED SOFTWARE
ROP,47912649215.9,434.54,N/A,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
DDOG,47687715156.51,133.77,N/A,SERVICES-PREPACKAGED SOFTWARE
TTWO,47308924356.95999,251.6,N/A,SERVICES-PREPACKAGED SOFTWARE
FER,46244801717.659996,64.55,N/A,
FAST,46070673483.73,40.44,N/A,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
PSNY,45289269270.68,19.81,N/A,
AXON,45114807615.24,563.45,N/A,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
BKR,44937682586.28,47.14,N/A,OIL & GAS FIELD MACHINERY & EQUIPMENT
EXC,43951374874.44,43.92,N/A,ELECTRIC & OTHER SERVICES COMBINED
XEL,43691127633.78,74.68,N/A,ELECTRIC & OTHER SERVICES COMBINED
MSTR,43663400033.25,157.16,N/A,FINANCE SERVICES
MPWR,43420988520.0,936.31,N/A,SEMICONDUCTORS & RELATED DEVICES
FANG,43073395552.62,152.34,N/A,CRUDE PETROLEUM & NATURAL GAS
TEAM,42660833429.71999,154.76,N/A,SERVICES-PREPACKAGED SOFTWARE
CCEP,40694160843.5,88.21,N/A,
PAYX,40268968541.0,108.6,N/A,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
CTSH,40059657259.0,81.28,N/A,SERVICES-COMPUTER PROGRAMMING SERVICES
EBAY,39369200000.0,87.06,N/A,"SERVICES-BUSINESS SERVICES, NEC"
KDP,38053913331.25,27.73,N/A,BEVERAGES
CPRT,37897892328.6,37.77,N/A,RETAIL-AUTO DEALERS & GASOLINE STATIONS
GEHC,37361880975.84,82.82,N/A,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
RKLB,37262745790.08,75.99,N/A,GUIDED MISSILES & SPACE VEHICLES & PARTS
INSM,37118114544.759995,177.12,N/A,PHARMACEUTICAL PREPARATIONS
UAL,36200381929.979996,113.01,N/A,"AIR TRANSPORTATION, SCHEDULED"
FISV,36127511249.79,65.59,N/A,"SERVICES-BUSINESS SERVICES, NEC"
ZS,35868264103.36,220.57,N/A,SERVICES-COMPUTER PROGRAMMING SERVICES
CRWV,35684517034.32,79.32,N/A,SERVICES-PREPACKAGED SOFTWARE
SNDK,34788793631.02,275.24,N/A,COMPUTER STORAGE DEVICES
ACGL,34783079972.96,93.86,N/A,"FIRE, MARINE & CASUALTY INSURANCE"
EXPE,34714686824.65,282.94,N/A,TRANSPORTATION SERVICES
MCHP,34437272262.479996,65.03,N/A,SEMICONDUCTORS & RELATED DEVICES
MDB,34159307754.4,399.65,N/A,SERVICES-PREPACKAGED SOFTWARE
KMB,33484696473.24,101.4,N/A,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
MDLN,33058957050.0,40.62,N/A,
SOFI,32998541677.64,27.46,N/A,FINANCE SERVICES
ODFL,32786635235.2,159.19,N/A,TRUCKING (NO LOCAL)
FOXA,32438894623.469997,73.76,N/A,TELEVISION BROADCASTING STATIONS
NTRA,31946398900.8,228.84,N/A,SERVICES-MEDICAL LABORATORIES
WTW,31462994231.800003,326.27,N/A,"INSURANCE AGENTS, BROKERS & SERVICE"
SATS,31292155440.5,112.18,N/A,"COMMUNICATIONS SERVICES, NEC"
VRSK,31176250183.3,221.02,N/A,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
FITB,30943505730.510002,47.71,N/A,STATE COMMERCIAL BANKS
TER,30313103128.68,207.56,N/A,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
FOX,28825200874.530003,65.96,N/A,TELEVISION BROADCASTING STATIONS
KHC,28703647790.75,24.39,N/A,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
IBKR,28641366364.27,67.23,N/A,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
LPLA,28587037449.74,361.63,N/A,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
CSGP,28497844466.839996,65.69,N/A,"SERVICES-BUSINESS SERVICES, NEC"
ALAB,28098805557.760002,179.56,N/A,SEMICONDUCTORS & RELATED DEVICES
FSLR,28032105673.43,274.34,N/A,SEMICONDUCTORS & RELATED DEVICES
HBAN,27322834687.2,17.48,N/A,NATIONAL COMMERCIAL BANKS
CHTR,27014205361.25,209.28,N/A,CABLE & OTHER PAY TELEVISION SERVICES
ULTA,26839557681.72,620.04,N/A,"RETAIL-RETAIL STORES, NEC"
ESLT,26826657102.0,591.96,N/A,
FCNCA,26688932991.359997,2158.64,N/A,STATE COMMERCIAL BANKS
TSCO,26425463785.95,50.83,N/A,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
EXE,26284407760.92,109.77,N/A,CRUDE PETROLEUM & NATURAL GAS
LITE,26137671548.1,386.11,N/A,"COMMUNICATIONS EQUIPMENT, NEC"
CRDO,25991098046.909996,143.22,N/A,SEMICONDUCTORS & RELATED DEVICES
DXCM,25885379972.640003,66.54,N/A,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
NTRS,25831541431.71,139.28,N/A,STATE COMMERCIAL BANKS
BIIB,25818132849.280003,177.82,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
ZM,25550552615.010002,83.32,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
CINF,25480943543.16,161.49,N/A,"FIRE, MARINE & CASUALTY INSURANCE"
STLD,24745606857.55,176.06,N/A,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
FWONK,24632842886.870003,98.04,N/A,TELEVISION BROADCASTING STATIONS
AFRM,24567380876.340004,74.03,N/A,PERSONAL CREDIT INSTITUTIONS
DLTR,24460930532.870003,127.7,N/A,RETAIL-VARIETY STORES
LULU,24377360275.62,210.81,N/A,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
RIVN,24162747496.65,19.41,N/A,MOTOR VEHICLES & PASSENGER CAR BODIES
TW,22951307137.260002,106.2,N/A,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
VRSN,22521465000.0,240.53,N/A,SERVICES-COMPUTER PROGRAMMING SERVICES
CYBR,22515749209.12,435.32,N/A,
FWONA,22349847703.059998,89.07,N/A,
TROW,22343104060.0,104.63,N/A,INVESTMENT ADVICE
FLEX,22342731617.760002,63.68,N/A,PRINTED CIRCUIT BOARDS
ON,21788791009.8,56.7,N/A,SEMICONDUCTORS & RELATED DEVICES
SSNC,21332875570.260002,85.75,N/A,SERVICES-PREPACKAGED SOFTWARE
CG,21303863827.46,60.86,N/A,INVESTMENT ADVICE
NTAP,21210282667.32,106.47,N/A,COMPUTER STORAGE DEVICES
NBIS,21077523517.51,89.95,N/A,
UTHR,20979327862.75,496.72,N/A,PHARMACEUTICAL PREPARATIONS
PTC,20717002853.31,170.1,N/A,SERVICES-PREPACKAGED SOFTWARE
SBAC,20612481090.0,192.48,N/A,REAL ESTATE INVESTMENT TRUSTS
CASY,20487264538.43,556.26,N/A,RETAIL-AUTO DEALERS & GASOLINE STATIONS
GRAB,20394130000.0,5.08,N/A,
ASTS,20191935298.5,83.47,N/A,"COMMUNICATIONS SERVICES, NEC"
FTAI,20191480286.25,210.35,N/A,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING
ILMN,20041248000.0,134.35,N/A,LABORATORY ANALYTICAL INSTRUMENTS
PODD,19995402287.52,282.92,N/A,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
CHKP,19920742214.32,181.03,N/A,
GFS,19404405138.600002,36.87,N/A,
INCY,19390793375.309998,101.42,N/A,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
PFG,19379193891.03,89.42,N/A,ACCIDENT & HEALTH INSURANCE
EXAS,19272617390.12,101.74,N/A,SERVICES-MEDICAL LABORATORIES
CHRW,18991732735.28,163.72,N/A,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
RGLD,18760845424.27,221.12,N/A,MINERAL ROYALTY TRADERS
TRMB,18641107372.699997,78.33,N/A,"MEASURING & CONTROLLING DEVICES, NEC"
JBHT,18504733361.64,196.78,N/A,TRUCKING (NO LOCAL)
TTD,18357261151.32,37.68,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
WWD,18138228948.16,310.86,N/A,ELECTRICAL INDUSTRIAL APPARATUS
CDW,17732376492.0,133.16,N/A,RETAIL-CATALOG & MAIL-ORDER HOUSES
SMCI,17473345062.91,30.96,N/A,ELECTRONIC COMPUTERS
DKNG,17153240625.68,35.66,N/A,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
TLN,17125625447.519999,396.73,N/A,ELECTRIC SERVICES
GEN,16768510949.33,26.07,N/A,SERVICES-PREPACKAGED SOFTWARE
LNT,16711060321.890001,65.59,N/A,ELECTRIC & OTHER SERVICES COMBINED
EVRG,16688223298.56,73.08,N/A,ELECTRIC & OTHER SERVICES COMBINED
HOLX,16616153713.38,74.56,N/A,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
NWS,16522680101.289999,29.77,N/A,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
ZG,16515114484.900002,65.61,N/A,"SERVICES-BUSINESS SERVICES, NEC"
Z,16512693978.6,65.92,N/A,"SERVICES-BUSINESS SERVICES, NEC"
RPRX,16508842974.960001,38.86,N/A,PHARMACEUTICAL PREPARATIONS
COO,16062359010.96,81.11,N/A,OPHTHALMIC GOODS
ROKU,16029589635.789999,108.72,N/A,CABLE & OTHER PAY TELEVISION SERVICES
WMG,16022101819.53,30.44,N/A,SERVICES-AMUSEMENT & RECREATION SERVICES
MEDP,15820682447.949999,571.02,N/A,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
EWBC,15463246033.56,115.06,N/A,STATE COMMERCIAL BANKS
RVMD,15397922468.250002,79.02,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
OKTA,15325097209.869999,83.64,N/A,SERVICES-PREPACKAGED SOFTWARE
ROIV,15092168045.5,21.93,N/A,PHARMACEUTICAL PREPARATIONS
ERIE,14988890662.199999,277.81,N/A,"INSURANCE AGENTS, BROKERS & SERVICE"
FFIV,14827954869.64,256.63,N/A,COMPUTER COMMUNICATIONS EQUIPMENT
PSKY,14782438657.6,13.18,N/A,TELEVISION BROADCASTING STATIONS
BBIO,14740297106.369999,78.235,N/A,PHARMACEUTICAL PREPARATIONS
LOGI,14718074985.86,100.28,N/A,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
NWSA,14565386575.960001,26.19,N/A,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
ARCC,14479149118.0,20.44,N/A,
VTRS,14339534906.4,12.46,N/A,PHARMACEUTICAL PREPARATIONS
NBIX,14141259147.340002,140.6,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
DPZ,14082771386.76,425.28,N/A,WHOLESALE-GROCERIES & RELATED PRODUCTS
NTNX,13976972071.56,50.6,N/A,SERVICES-PREPACKAGED SOFTWARE
ICLR,13914306809.039999,188.67,N/A,
DOCU,13698655416.000002,64.85,N/A,SERVICES-PREPACKAGED SOFTWARE
NDSN,13421647951.880001,241.03,N/A,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC"
GH,13265373360.94,101.74,N/A,SERVICES-MEDICAL LABORATORIES
MDGL,13225768322.800001,593.87,N/A,PHARMACEUTICAL PREPARATIONS
JKHY,13207379047.359999,178.35,N/A,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
LECO,13186472816.64,243.76,N/A,METALWORKG MACHINERY & EQUIPMENT
TSEM,13165576596.0,121.74,N/A,
SMMT,13020299989.619999,17.52,N/A,PHARMACEUTICAL PREPARATIONS
NXT,12925972405.8,92.78,N/A,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
MTSI,12834520471.84,174.96,N/A,SEMICONDUCTORS & RELATED DEVICES
LAMR,12820475809.56,124.12,N/A,REAL ESTATE INVESTMENT TRUSTS
KTOS,12816698144.279999,79.29,N/A,GUIDED MISSILES & SPACE VEHICLES & PARTS
IONS,12813794230.23,79.67,N/A,PHARMACEUTICAL PREPARATIONS
ENTG,12772300000.0,89.56,N/A,"PLASTICS PRODUCTS, NEC"
PAA,12670739949.2,18.21,N/A,PIPE LINES (NO NATURAL GAS)
GLPI,12647642803.98,44.42,N/A,REAL ESTATE INVESTMENT TRUSTS
REG,12625654511.34,67.96,N/A,REAL ESTATE INVESTMENT TRUSTS
AKAM,12552241928.25,85.1,N/A,"SERVICES-BUSINESS SERVICES, NEC"
WYNN,12511249058.07,122.57,N/A,HOTELS & MOTELS
IREN,12401465782.380001,42.7,N/A,FINANCE SERVICES
ZBRA,12301319962.44,248.3,N/A,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
HST,12192734498.130001,18.16,N/A,REAL ESTATE INVESTMENT TRUSTS
AVAV,12076570629.42,256.19,N/A,AIRCRAFT
CART,11808732720.72,43.91,N/A,"SERVICES-BUSINESS SERVICES, NEC"
CELH,11791099484.78,47.75,N/A,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
EXEL,11751355841.31,43.58,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
BSY,11585255500.22,38.15,N/A,SERVICES-PREPACKAGED SOFTWARE
MRNA,11522734925.64,30.86,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
HAS,11507635886.0,82.97,N/A,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
AGNC,11499602030.400002,10.93,N/A,REAL ESTATE INVESTMENT TRUSTS
BMRN,11417355463.92,59.45,N/A,PHARMACEUTICAL PREPARATIONS
SAIL,11361689124.800001,18.95,N/A,SERVICES-PREPACKAGED SOFTWARE
ALGN,11203761719.25,156.03,N/A,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
TXRH,10980249114.0,171.36,N/A,RETAIL-EATING PLACES
RNA,10868241270.46,72.1,N/A,PHARMACEUTICAL PREPARATIONS
MKSI,10733681945.2,168.36,N/A,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
CFLT,10679283972.0,30.11,N/A,SERVICES-PREPACKAGED SOFTWARE
TEM,10505423643.949999,62.36,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
MANH,10443356787.57,167.28,N/A,SERVICES-PREPACKAGED SOFTWARE
FIVE,10389388530.6,193.45,N/A,RETAIL-VARIETY STORES
RGC,10384267068.0,20.54,N/A,
JAZZ,10330069720.0,173.15,N/A,PHARMACEUTICAL PREPARATIONS
COKE,10211922520.800001,149.84,N/A,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
PEGA,10135844600.76,56.06,N/A,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
AAL,10119125968.35,15.48,N/A,"AIR TRANSPORTATION, SCHEDULED"
ENSG,10090497198.599998,173.92,N/A,SERVICES-SKILLED NURSING CARE FACILITIES
LSCC,10064742870.52,78.65,N/A,SEMICONDUCTORS & RELATED DEVICES
SEIC,10042480408.199999,83.01,N/A,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
TTAN,9973366521.0,101.59,N/A,SERVICES-PREPACKAGED SOFTWARE
RMBS,9891970721.37,99.28,N/A,SEMICONDUCTORS & RELATED DEVICES
TPG,9774198813.12,65.75,N/A,INVESTMENT ADVICE
AMKR,9759196892.759998,42.92,N/A,SEMICONDUCTORS & RELATED DEVICES
NVMI,9737572652.96,347.34,N/A,
FYBR,9530367660.0,38.07,N/A,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
SWKS,9507076328.17,64.395,N/A,SEMICONDUCTORS & RELATED DEVICES
CHYM,9428127907.62,26.4,N/A,FINANCE SERVICES
STRL,9407193593.79,319.16,N/A,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
WTFC,9363907311.56,142.66,N/A,STATE COMMERCIAL BANKS
TIGO,9263192400.0,56.55,N/A,
PPC,9261974958.53,39.87,N/A,POULTRY SLAUGHTERING AND PROCESSING
RGEN,9223802131.140001,164.35,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
SITM,9218481509.7,369.96,N/A,SEMICONDUCTORS & RELATED DEVICES
AXSM,9207364569.599998,178.69,N/A,PHARMACEUTICAL PREPARATIONS
TECH,9163344945.81,59.65,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
DRS,9068851055.25,34.78,N/A,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
ARWR,9016396555.62,67.79,N/A,PHARMACEUTICAL PREPARATIONS
MORN,8937786017.38,210.42,N/A,INVESTMENT ADVICE
HSIC,8897640913.06,76.82,N/A,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES"
SFD,8778206836.63,22.15,N/A,MEAT PACKING PLANTS
TTEK,8748179035.44,33.65,N/A,SERVICES-ENGINEERING SERVICES
FIGR,8739496949.560001,43.74,N/A,LOAN BROKERS
UMBF,8737824086.4,116.48,N/A,NATIONAL COMMERCIAL BANKS
ONB,8718145630.0,22.55,N/A,NATIONAL COMMERCIAL BANKS
SAIA,8699355139.32,337.17,N/A,TRUCKING (NO LOCAL)
DOX,8691017384.890001,80.16,N/A,
APA,8675209879.460001,25.36,N/A,CRUDE PETROLEUM & NATURAL GAS
ZION,8642906130.36,59.25,N/A,NATIONAL COMMERCIAL BANKS
POOL,8520819465.0,229.71,N/A,WHOLESALE-MISC DURABLE GOODS
MBLY,8495800069.32,11.23,N/A,SERVICES-PREPACKAGED SOFTWARE
XP,8493291282.63,16.18,N/A,
COLB,8360431279.2,28.19,N/A,STATE COMMERCIAL BANKS
APPF,8357106730.5,230.37,N/A,SERVICES-PREPACKAGED SOFTWARE
CPB,8309001408.150001,27.71,N/A,FOOD AND KINDRED PRODUCTS
BPOP,8302352944.599999,125.96,N/A,STATE COMMERCIAL BANKS
PCTY,8293195067.5,145.7,N/A,SERVICES-PREPACKAGED SOFTWARE
OTEX,8210520693.179999,31.74,N/A,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
IDCC,8196550465.76,326.26,N/A,PATENT OWNERS & LESSORS
SANM,8188402522.089999,159.29,N/A,PRINTED CIRCUIT BOARDS
DUOL,8112901153.5,176.48,N/A,SERVICES-PREPACKAGED SOFTWARE
LINE,7990136875.0,35.42,N/A,REAL ESTATE INVESTMENT TRUSTS
CHDN,7933736264.76,111.95,N/A,"SERVICES-RACING, INCLUDING TRACK OPERATION"
HALO,7914278100.0,70.31,N/A,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
AEIS,7902773031.93,221.99,N/A,"ELECTRONIC COMPONENTS, NEC"
HQY,7826818160.46,91.07,N/A,"SERVICES-BUSINESS SERVICES, NEC"
VFS,7813972337.839999,3.38,N/A,
MMYT,7813503420.440001,81.89,N/A,
NUVL,7811538854.490001,100.84,N/A,PHARMACEUTICAL PREPARATIONS
QRVO,7808463793.71,86.27,N/A,SEMICONDUCTORS & RELATED DEVICES
CYTK,7768713588.66,61.73,N/A,PHARMACEUTICAL PREPARATIONS
SFM,7757423205.13,80.64,N/A,RETAIL-GROCERY STORES
GSAT,7742216790.559999,63.99,N/A,"COMMUNICATIONS SERVICES, NEC"
LYFT,7735475319.26,19.79,N/A,"SERVICES-BUSINESS SERVICES, NEC"
LKQ,7730173381.2,30.03,N/A,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES
IESC,7723830656.7,406.91,N/A,ELECTRICAL WORK
SOLS,7710979812.48,49.28,N/A,AIRCRAFT ENGINES & ENGINE PARTS
LLYVK,7642620714.96,84.16,N/A,
MTCH,7622706402.809999,31.74,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
CAI,7612323982.54,26.98,N/A,SERVICES-MEDICAL LABORATORIES
MNDY,7606933732.72,143.42,N/A,
DSGX,7537604904.179999,85.13,N/A,
BOKF,7492319698.96,118.68,N/A,NATIONAL COMMERCIAL BANKS
LLYVA,7490062389.0,82.48,N/A,
CIGI,7488883600.209999,145.22,N/A,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)
MIDD,7488693737.499999,150.77,N/A,REFRIGERATION & SERVICE INDUSTRY MACHINERY
FRHC,7441940404.080001,124.23,N/A,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
AUR,7431824601.599999,3.87,N/A,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
PNFP,7401474352.37,95.1,N/A,NATIONAL COMMERCIAL BANKS
FROG,7389819611.64,59.57,N/A,SERVICES-PREPACKAGED SOFTWARE
